2025-06-01T21:19:25.420+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:53 : Starting EbookApplication using Java 17.0.11 with PID 15436 (C:\Users\sanja\sts-workplace\springboot-aws-ebook\target\classes started by sanja in C:\Users\sanja\sts-workplace\springboot-aws-ebook)
2025-06-01T21:19:25.430+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:652 : No active profile set, falling back to 1 default profile: "default"
2025-06-01T21:19:27.973+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:111 : Tomcat initialized with port 8080 (http)
2025-06-01T21:19:27.986+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8080"]
2025-06-01T21:19:27.989+05:30 INFO  [ebook-app] [main] o.apache.catalina.core.StandardService:173 : Starting service [Tomcat]
2025-06-01T21:19:27.990+05:30 INFO  [ebook-app] [main] org.apache.catalina.core.StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-06-01T21:19:28.156+05:30 INFO  [ebook-app] [main] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring embedded WebApplicationContext
2025-06-01T21:19:28.158+05:30 INFO  [ebook-app] [main] o.s.b.w.s.c.ServletWebServerApplicationContext:296 : Root WebApplicationContext: initialization completed in 2585 ms
2025-06-01T21:19:30.823+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8080"]
2025-06-01T21:19:30.860+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:243 : Tomcat started on port 8080 (http) with context path '/ebookservice'
2025-06-01T21:19:30.889+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:59 : Started EbookApplication in 6.677 seconds (process running for 7.664)
2025-06-01T21:19:52.379+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:20:12.668+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:20:33.040+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:20:53.326+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:21:13.615+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:21:33.913+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:21:34.663+05:30 INFO  [ebook-app] [SpringApplicationShutdownHook] o.s.b.w.embedded.tomcat.GracefulShutdown:54 : Commencing graceful shutdown. Waiting for active requests to complete
2025-06-01T21:21:34.710+05:30 INFO  [ebook-app] [tomcat-shutdown] o.s.b.w.embedded.tomcat.GracefulShutdown:76 : Graceful shutdown complete
2025-06-01T21:21:54.198+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
